İhaleyi Veren Kurum;İhale Detayları
BAYRAMPAŞA BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;2 Kısımlı Dijital ve Kurumsal Arşiv Yönetim Sistemi Yazılımı ve Yapay Zeka Destekli Sıfır Atık Toplama Analiz ve Yönetim Sistemi | 2026/1360913 | İSTANBUL, 10.08.2026 11:00
BAYRAMPAŞA BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;2 Kısımlı Dijital ve Kurumsal Arşiv Yönetim Sistemi Yazılımı ve Yapay Zeka Destekli Sıfır Atık Toplama Analiz ve Yönetim Sistemi | 2026/1360913 | İSTANBUL, 10.08.2026 11:00
DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;Bilgisayar Sarf Malzeme ve Güvenlik Yazılımı Alımı | 2026/1323653 | ADANA, 10.08.2026 10:00
DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;Bilgisayar Sarf Malzeme ve Güvenlik Yazılımı Alımı | 2026/1323653 | ADANA, 10.08.2026 10:00
ESENLER BELEDİYE BAŞKANLIĞI MALİ HİZMETLER MÜDÜRLÜĞÜ;15 TEMMUZ MİLLET BAHÇESİ ANONS SİSTEMİ TEMİNİ, KURULUMU, TEST VE DEVREYE ALMA İŞİ | 2026/1298949 | İSTANBUL, 07.08.2026 10:30
ESENLER BELEDİYE BAŞKANLIĞI MALİ HİZMETLER MÜDÜRLÜĞÜ;15 TEMMUZ MİLLET BAHÇESİ ANONS SİSTEMİ TEMİNİ, KURULUMU, TEST VE DEVREYE ALMA İŞİ | 2026/1298949 | İSTANBUL, 07.08.2026 10:30
MANİSA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ ELEKTRİK MAKİNE VE MALZEME İKMAL DAİRESİ BAŞKANLIĞI;2026 YILI RF DEPO-POMPA OTAMASYON SİSTEMİ MAL ALIM İŞİ | 2026/1278594 | MANİSA, 07.08.2026 10:30
MANİSA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ ELEKTRİK MAKİNE VE MALZEME İKMAL DAİRESİ BAŞKANLIĞI;2026 YILI RF DEPO-POMPA OTAMASYON SİSTEMİ MAL ALIM İŞİ | 2026/1278594 | MANİSA, 07.08.2026 10:30
EGM DESTEK HİZMETLERİ DAİRE BAŞKANLIĞ İÇİŞLERİ BAKANLIĞI EMNİYET GENEL MÜDÜRLÜĞÜ;Üç Boyutlu Tasarım Yazılımı | 2021/303153 | ANKARA, 24.06.2021 11:30
EGM DESTEK HİZMETLERİ DAİRE BAŞKANLIĞ İÇİŞLERİ BAKANLIĞI EMNİYET GENEL MÜDÜRLÜĞÜ;Üç Boyutlu Tasarım Yazılımı | 2021/303153 | ANKARA, 24.06.2021 11:30
